id,section,type,severity,title,status,affected_area,evidence,impact,recommended_action,public_behavior_change,artifact_updates,source_files,validation,next_step
20260606-172943-S2-B1,2,B,medium,Out-of-range --date-range raises uncaught ValueError traceback,completed,CLI date filtering,"parse_date_range/parse_partial_date raise ValueError on 2026-13 / 2026-02-30; main() has no top-level guard; zoom_meeting_manager.py:606,3541,3236",Ugly traceback instead of a clean error message for a common user mistake,Catch invalid date input and exit with a clean ERROR message (SystemExit) ,no (error UX only),CHANGELOG,zoom_meeting_manager.py,Add unit test + manual run,Implement in S7
20260606-172943-S2-B2,2,B,medium,Non-object model JSON crashes render_summary_text with AttributeError,completed,summarize output rendering,"parse_json_response accepts a JSON array/number; validate_summary_output only warns (non-fatal); render_summary_text does model_out.get on a non-dict -> AttributeError; zoom_meeting_manager.py:3049,1287,3041",A malformed-but-valid-JSON model reply aborts a summarize run with a traceback,"Guard: if model output is not a dict, treat as a model error (save diagnostic, skip/fail item) instead of crashing",no (hardening),CHANGELOG,zoom_meeting_manager.py,Add unit test feeding a list payload,Implement in S7
20260606-172943-S2-B3,2,B,low,cmd_clean ProgressReporter total includes skipped records (inflated ETA/cost),completed,clean progress output,"total=len(selected) counts records later skipped (no merged / resume / existing output); progress.start/finish only on processed items; zoom_meeting_manager.py:2546-2548",ETA and projected cost during clean are overstated; --max truncates pre-filter list,Size ProgressReporter from the actually-processable set (mirror cmd_summarize which builds to_process first),no,none,zoom_meeting_manager.py,pytest + manual,Implement in S7
20260606-172943-S2-S1,2,S,low,init can write config containing a literal API key at 0644,completed,config init security,"init writes config file at default perms; world-readable key warning only covers {file:} keys not zmm config; lane A A4",A secret stored in a world-readable config is a local privacy risk,"chmod 600 the written config when it contains a literal api_key, or warn",no,CHANGELOG/README,zoom_meeting_manager.py,manual,Implement in S7 (low risk)
20260606-172943-S2-S2,2,S,low,base_url with http:// scheme sends API key in cleartext without warning,completed,api client security,"client_for/_make_client accept any base_url; no scheme check; lane A A5",Operator could unknowingly send keys over plaintext HTTP,Warn (once) if base_url uses http:// (non-localhost),no,CHANGELOG,zoom_meeting_manager.py,manual,Implement in S7 (warn only)
20260606-172943-S2-E1,2,E,low,_error_hint operator-precedence fragility for not-found detection,completed,error messaging,"'model' in msg and 'not' in msg binds as ('model' in msg) and ('not' in msg); lane A A6",Mis-categorized hint in rare messages; cosmetic,Parenthesize the condition,no,none,zoom_meeting_manager.py,unit test,Implement in S7
20260606-172943-S2-E2,2,E,low,--max accepts 0/negative without validation,deferred,CLI arg validation,"--max type=int unvalidated; 0 or negative could behave oddly via slicing; lane A A7",Minor; slicing with negatives truncates unexpectedly,Validate --max >= 1 or document slice semantics,no,none,zoom_meeting_manager.py,unit test,Defer (low value); document
20260606-172943-S2-M1,2,M,low,_LAST_USAGE module global couples cost accounting to serial execution,identified,cost accounting,"module-global set by _extract_content; safe today (serial loops) but a latent footgun if parallelized; lane A A9",Future risk only,Document the assumption with a comment; no change now,no,none,zoom_meeting_manager.py,n/a,Add code comment in S7
20260606-172943-S3-T1,3,T,medium,cmd_estimate has no end-to-end test (5% line coverage),completed,tests,"lane B T1; only parser-routed, command body unexercised",Estimate command regressions could ship unnoticed,Add a cmd_estimate test with monkeypatched costs + tmp tree,no,tests,tests/,pytest,Implement in S7
20260606-172943-S3-T2,3,T,medium,cmd_list --has / missing-summaries not exercised end-to-end (cmd_list 37%),completed,tests,"lane B T2; only filter helpers unit-tested",Command wiring regressions possible,Add cmd_list end-to-end tests for --has and missing-summaries,no,tests,tests/,pytest,Implement in S7
20260606-172943-S3-T3,3,T,low,cmd_extract search/me paths ~50% covered,deferred,tests,lane B T3,Local search regressions possible,Add extract search/me tests,no,tests,tests/,pytest,Defer unless cheap
20260606-172943-S3-T4,3,T,medium,Generated summary .json not validated against schemas/summary.json in tests,completed,tests/schema,"lane B T4 / lane D SCH; only key-presence checked",Schema drift between code output and published schema could go unnoticed,Add a test validating a generated payload against the schema (jsonschema if available else key+type check),no,tests; pyproject dev extra,tests/,pytest,Implement in S7
20260606-172943-S3-T5,3,T,medium,Cost/progress tests read machine-local opencode.json (non-hermetic),completed,tests determinism,"test_progress_reporter_timing_fields uses real _load_model_costs; _cost_rate substring match; lane B T5",Tests could behave differently across machines/CI,Add autouse fixture neutralizing _load_model_costs (or patch in the timing test),no,tests,tests/conftest.py,pytest,Implement in S7
20260606-172943-S3-R1,3,R,low,No end-to-end truncation regression at cmd_summarize,deferred,tests,lane B R1; only helper tested,Truncation handling at command layer could regress,Add cmd_summarize truncation test,no,tests,tests/,pytest,Defer (helper well-tested)
20260606-172943-S4-D1,4,D,medium,Tag vs CHANGELOG incoherence: v0.1.0 tag precedes 7 feature commits folded under [0.1.0],completed,release docs,"lane C D1; tag at 7f11db6; README release proc references nonexistent [Unreleased]",Users/maintainers see a tag that doesn't match shipped CHANGELOG content,"Recommend: keep an [Unreleased] section OR retag; at minimum align README release procedure and CHANGELOG (record decision; do not retag without permission)",no,CHANGELOG/README,CHANGELOG.md README.md,manual,Decide + doc in S7
20260606-172943-S4-D2,4,D,low,Several real flags undocumented in README,completed,docs,"lane C D2; --prompt-context/-person/-correction, --summarization-source, --only-cleaned-transcripts, --ignore-model-errors absent from README flags",Discoverability gap,Add the missing flags to README flag list,no,README,README.md zoom_meeting_manager.py,manual,Implement in S7
20260606-172943-S4-D3,4,D,low,Two flags ship with empty help text,completed,help text,"lane C D3; --summarization-source and --only-cleaned-transcripts have empty help",Poor CLI help UX,Add concise help strings,no,none,zoom_meeting_manager.py,zmm --help,Implement in S7
20260606-172943-S4-D4,4,D,low,README 'list missing' choices omit summary-json/transcripts,completed,docs,lane C D4,Docs incomplete vs actual choices,Update README list-missing choices,no,README,README.md,manual,Implement in S7
20260606-172943-S5-U1,5,U,low,Three --prompt-* flags are functionally identical (collapse candidate),deferred,CLI usability,"lane C U1; all appended to one list at zoom_meeting_manager.py:1071-1074",Redundant surface; mild confusion,Collapse into --prompt-layer (deferred per user),yes (flag rename),README/CHANGELOG,zoom_meeting_manager.py,n/a,Defer (user will revisit)
20260606-172943-S5-U2,5,U,low,Deferred flag renames (--clobber/--show-stale/--summarization-source),deferred,CLI usability,lane C U2; prior session deferred,Naming clarity,Rename later before public release,yes,README/CHANGELOG,zoom_meeting_manager.py,n/a,Defer (user will revisit)
20260606-172943-S5-M2,5,M,low,Single 3.5k-line module,deferred,maintainability,"lane C M1; tracked as P5-M2 in TODO",Onboarding/maintenance friction,Package split tracked for future,no,TODO,zoom_meeting_manager.py,n/a,Defer (already tracked)
20260606-172943-S6-CI1,6,CI,medium,CI matrix omits Python 3.14 (dev runs 3.14),completed,CI,"lane D CI1; .github/workflows/ci.yml matrix 3.10-3.13; suite passes on 3.14",CI doesn't cover the version actually used; 3.14 regressions could slip,Add 3.14 to matrix + classifier,no,ci.yml pyproject,.github/workflows/ci.yml pyproject.toml,CI run,Implement in S7
20260606-172943-S6-CI2,6,CI,medium,CI installs deps manually instead of pip install .[dev]; never installs package,completed,CI,"lane D CI2; ci.yml step pip install pytest pytest-cov tiktoken",Packaging/entry-point/optional-openai regressions untested,Install via .[dev]; add an install/build smoke job,no,ci.yml,.github/workflows/ci.yml,CI run,Implement in S7
20260606-172943-S6-CI3,6,CI,low,CI never builds/installs the wheel (packaging untested in CI),completed,CI,lane D CI3; installed-metadata test skipped,Packaging regressions ship unnoticed,Add a build job (python -m build) + import check,no,ci.yml,.github/workflows/ci.yml,CI run,Implement in S7
20260606-172943-S6-SCH1,6,SCH,low,Runtime summary validation is key-presence only (no type/enum/nested checks),deferred,schema validation,"lane D SCH; validate_summary_output checks top-level keys only",Subtle malformed model output (wrong types) not flagged at runtime,Optionally validate with jsonschema when available; keep best-effort,no,none,zoom_meeting_manager.py,n/a,Defer (best-effort by design)
20260606-172943-S6-DEP1,6,DEP,low,deprecated/ predecessor scripts tracked in repo,identified,deprecation,"lane A A11 / lane C DEP1 / lane D confirmed excluded from wheel & sdist",Repo clutter; potential confusion,Keep for provenance OR remove; correctly excluded from build,no,deprecation-candidates,deprecated/,build listing,Record decision (keep) ; no action
20260606-172943-S2-E3,2,E,low,Diagnostics persist transcript PII to disk,completed,privacy,"lane A A8; invalid-response/schema-warnings diagnostics include transcript-derived content",Local PII at rest in Diagnostics/,Document in README that Diagnostics may contain transcript content,no,README,zoom_meeting_manager.py,n/a,Document in S7
